method,N,dropout,ConvergenceRate,Bias,Relative_Bias,RMSE,Coverage,Power,Empirical_SE,Avg_Model_SE,SE_Ratio,MCSE_Coverage,Power_Continuous,Type_I_Error_Binary
GEE_bin,100,0.1,1,0.0367570667384897,,0.0559156891001577,0.826,0.174,0.0421786724916043,0.0404634438778985,1.04238958549553,0.0379109482867417,,0.174
GEE_bin,100,0.2,1,0.0364752719016162,,0.0603384869515437,0.856,0.144,0.0481135883308334,0.0452974667711905,1.06216951543599,0.0351089732119867,,0.144
GEE_bin,100,0.3,1,0.0376207572695556,,0.0653477004899532,0.868,0.132,0.053485717961354,0.0507865673994068,1.05314693825869,0.033849076796864,,0.132
GEE_bin,100,0.5,0.998,0.0382416994581221,,0.0942141027499128,0.887775551102205,0.112224448897796,0.0861902364994905,0.0745478734495524,1.15617297330173,0.0315642395706568,,0.112224448897796
GEE_bin,200,0.1,1,0.0363526281939085,,0.0461988075143466,0.744,0.256,0.0285384850579336,0.0283356835248133,1.00715710750167,0.0308596824351775,,0.256
GEE_bin,200,0.2,1,0.0361949663564844,,0.0473744038492943,0.79,0.21,0.0305962548713614,0.0306316180950071,0.998845531974967,0.0288010416478293,,0.21
GEE_bin,200,0.3,1,0.0328068944763292,,0.0484210279053956,0.832,0.168,0.0356489173587615,0.0347105535671199,1.02703396215872,0.0264363386269733,,0.168
GEE_bin,200,0.5,1,0.035242519200403,,0.0637101561711333,0.894,0.106,0.0531280907601153,0.0512257721153497,1.03713596820917,0.0217674068276403,,0.106
GEE_cont,100,0.1,1,-0.0208963281035531,-1.39308854023687,0.249093284899029,0.932,1,0.24846383359916,0.235087019681777,1.05690154197152,0.0251745903640953,1,
GEE_cont,100,0.2,1,-0.025644367583553,-1.7096245055702,0.268731421757313,0.946,1,0.267772941402303,0.26445001433534,1.01256542592866,0.0226017698422048,1,
GEE_cont,100,0.3,1,-0.0394496952616509,-2.62997968411006,0.315595299550553,0.93,0.998,0.313433558882634,0.296315854243695,1.05776843997305,0.0255147016443461,0.998,
GEE_cont,100,0.5,1,-0.00732684993418072,-0.488456662278715,0.43054687117271,0.896,0.924,0.430915655495311,0.393424652721256,1.09529398453995,0.0305260544453423,0.924,
GEE_cont,200,0.1,1,-0.0194269618694092,-1.29513079129395,0.159719238423521,0.962,1,0.158692138004512,0.167852287502167,0.945427318066564,0.0135196153791445,1,
GEE_cont,200,0.2,1,-0.0114527463056874,-0.763516420379159,0.189187361773084,0.944,1,0.18902951296096,0.184817558197452,1.02278979770422,0.0162579211463213,1,
GEE_cont,200,0.3,1,-0.0273359436342248,-1.82239624228165,0.21001013825944,0.938,1,0.208431984449746,0.207308368961148,1.00542001991636,0.0170522725758182,1,
